Auftragskonto;Buchungstag;Valutadatum;Buchungstext;Verwendungszweck;Glaeubiger ID;Mandatsreferenz;Kundenreferenz (End-to-End);Sammlerreferenz;Lastschrift Ursprungsbetrag;Auslagenersatz Ruecklastschrift;Beguenstigter/Zahlungspflichtiger;Kontonummer/IBAN;BIC (SWIFT-Code);Betrag;Waehrung;Info
DE73500105177955987575;29.11.19;29.11.19;GUTSCHR. UEBERWEISUNG;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;1050,0;EUR;Umsatz gebucht
DE73500105177955987575;29.11.19;29.11.19;FOLGELASTSCHRIFT;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;-4,08;EUR;Umsatz gebucht
DE73500105177955987575;27.11.19;27.11.19;FOLGELASTSCHRIFT;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;-3,4;EUR;Umsatz gebucht
DE73500105177955987575;26.11.19;26.11.19;FOLGELASTSCHRIFT;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;-44,19;EUR;Umsatz gebucht
DE73500105177955987575;26.11.19;26.11.19;FOLGELASTSCHRIFT;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;-19,99;EUR;Umsatz gebucht
DE73500105177955987575;26.11.19;26.11.19;FOLGELASTSCHRIFT;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;-18,59;EUR;Umsatz gebucht
DE73500105177955987575;25.11.19;25.11.19;LOHN  GEHALT;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;397,81;EUR;Umsatz gebucht
DE73500105177955987575;25.11.19;25.11.19;FOLGELASTSCHRIFT;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;-15,91;EUR;Umsatz gebucht
DE73500105177955987575;22.11.19;22.11.19;KARTENZAHLUNG;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;-9,4;EUR;Umsatz gebucht
DE73500105177955987575;21.11.19;21.11.19;GUTSCHR. UEBERWEISUNG;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;54,3;EUR;Umsatz gebucht
DE73500105177955987575;21.11.19;21.11.19;FOLGELASTSCHRIFT;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;-7,56;EUR;Umsatz gebucht
DE73500105177955987575;20.11.19;20.11.19;KARTENZAHLUNG;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;-4,08;EUR;Umsatz gebucht
DE73500105177955987575;20.11.19;20.11.19;FOLGELASTSCHRIFT;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;-4,99;EUR;Umsatz gebucht
DE73500105177955987575;19.11.19;19.11.19;FOLGELASTSCHRIFT;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;-33,98;EUR;Umsatz gebucht
DE73500105177955987575;18.11.19;18.11.19;BARGELDEINZAHLUNG;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;998,0;EUR;Umsatz gebucht
DE73500105177955987575;18.11.19;18.11.19;KARTENZAHLUNG;example usage;00000000000;00000000000;00000000000;;;;Max Mustermann;DE11500105179888436465;ABCDEF000GH;-11,87;EUR;Umsatz gebucht
